timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728084249200,257,HTTP Request,201,Created,PT-001 Thread Group 1-1,text,true,,901,231,3,3,https://reqres.in/api/users,257,0,119
1728084249299,244,HTTP Request,201,Created,PT-001 Thread Group 1-2,text,true,,901,231,3,3,https://reqres.in/api/users,244,0,113
1728084249399,257,HTTP Request,201,Created,PT-001 Thread Group 1-3,text,true,,893,231,3,3,https://reqres.in/api/users,257,0,114
1728084249499,241,HTTP Request,201,Created,PT-001 Thread Group 1-4,text,true,,892,231,3,3,https://reqres.in/api/users,241,0,116
1728084249600,265,HTTP Request,201,Created,PT-001 Thread Group 1-5,text,true,,893,231,3,3,https://reqres.in/api/users,265,0,116
1728084249699,251,HTTP Request,201,Created,PT-001 Thread Group 1-6,text,true,,893,231,3,3,https://reqres.in/api/users,251,0,113
1728084249799,253,HTTP Request,201,Created,PT-001 Thread Group 1-7,text,true,,893,231,3,3,https://reqres.in/api/users,253,0,115
1728084249898,249,HTTP Request,201,Created,PT-001 Thread Group 1-8,text,true,,892,231,3,3,https://reqres.in/api/users,249,0,117
1728084249999,245,HTTP Request,201,Created,PT-001 Thread Group 1-9,text,true,,893,231,3,3,https://reqres.in/api/users,245,0,116
1728084250099,254,HTTP Request,201,Created,PT-001 Thread Group 1-10,text,true,,893,231,3,3,https://reqres.in/api/users,254,0,116
1728084250200,238,HTTP Request,201,Created,PT-001 Thread Group 1-11,text,true,,893,231,3,3,https://reqres.in/api/users,238,0,114
1728084250298,254,HTTP Request,201,Created,PT-001 Thread Group 1-12,text,true,,892,231,3,3,https://reqres.in/api/users,254,0,114
1728084250399,252,HTTP Request,201,Created,PT-001 Thread Group 1-13,text,true,,893,231,3,3,https://reqres.in/api/users,252,0,113
1728084250499,238,HTTP Request,201,Created,PT-001 Thread Group 1-14,text,true,,893,231,3,3,https://reqres.in/api/users,238,0,114
1728084250598,245,HTTP Request,201,Created,PT-001 Thread Group 1-15,text,true,,893,231,3,3,https://reqres.in/api/users,245,0,114
1728084250698,249,HTTP Request,201,Created,PT-001 Thread Group 1-16,text,true,,893,231,3,3,https://reqres.in/api/users,249,0,114
1728084250798,260,HTTP Request,201,Created,PT-001 Thread Group 1-17,text,true,,892,231,3,3,https://reqres.in/api/users,260,0,113
1728084250899,257,HTTP Request,201,Created,PT-001 Thread Group 1-18,text,true,,893,231,3,3,https://reqres.in/api/users,257,0,116
