"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login Functionality","0","User Login","1","1","Login with empty password","0"
"0","Web interface","0","login features","2","1","Logout","0"
"0","Web interface","0","Login Feature","2","1","Logout","0"
"1","Web interface","0","Checkout Feature","0","0","Checkout with Multiple Products","0"
"5","","0","Product Filtering Feature","0","0","","0"
"1","Web interface","0","product sorting features","0","0","Sort by Price with Special Characters","0"
"1","Web interface","0","Product Sorting Feature","0","0","Sort by Price with Special Characters","0"
"0","Web interface","0","product filtering features","1","1","Filter by Category","0"
"0","Web interface","0","Product Filtering Feature","1","1","Filter by Category","0"
"0","Web interface","0","login features","3","2","Invalid Login","0"
"0","Web interface","0","Login Feature","3","2","Invalid Login","0"
"1","Web interface","0","product filtering features","0","1","Filter by Category with Empty Field","0"
"1","Web interface","0","Product Filtering Feature","0","1","Filter by Category with Empty Field","0"
"3","Login Functionality","0","User Login","0","0","","0"
"1","Web interface","0","Cart Feature","0","0","Add Valid Product to Cart","0"
"1","Web interface","0","Cart Feature","0","0","Add Product to Cart with Special Characters","0"
"1","Web interface","0","product filtering features","0","1","Filter by Category with Special Characters","0"
"1","Web interface","0","Product Filtering Feature","0","1","Filter by Category with Special Characters","0"
"0","Login Functionality","0","User Login","1","1","Login with empty username","0"
"5","","0","Login Feature","0","0","","0"
"1","Web interface","0","product sorting features","0","0","Sort by Invalid Price","0"
"1","Web interface","0","Product Sorting Feature","0","0","Sort by Invalid Price","0"
"0","","0","","1","0","","0"
"0","Web interface","0","login features","3","2","Valid Login","0"
"0","Web interface","0","Login Feature","3","2","Valid Login","0"
"1","","0","Product Sorting Feature","0","0","","0"
"1","Web interface","0","Checkout Feature","0","0","Valid Checkout","0"
"1","Web interface","0","Cart Feature","0","0","Add Product to Cart with Empty Field","0"
"0","Web interface","1","product filtering features","0","1","Filter by Multiple Categories","0"
"0","Web interface","1","Product Filtering Feature","0","1","Filter by Multiple Categories","0"
"0","Web interface","1","product sorting features","0","0","Sort by Multiple Prices","0"
"0","Web interface","1","Product Sorting Feature","0","0","Sort by Multiple Prices","0"
"1","Web interface","0","Checkout Feature","0","0","Invalid Checkout","0"
"1","Web interface","0","Checkout Feature","0","0","Checkout with Special Characters","0"
"1","Web interface","0","Checkout Feature","0","0","Checkout with Empty Field","0"
"0","Web interface","0","product sorting features","1","0","Sort by Price","0"
"0","Web interface","0","Product Sorting Feature","1","0","Sort by Price","0"
"1","Web interface","0","Cart Feature","0","0","Add Invalid Product to Cart","0"
"1","Web interface","0","Cart Feature","0","0","Add Multiple Products to Cart","0"
"1","Web interface","0","product filtering features","0","1","Filter by Invalid Category","0"
"1","Web interface","0","Product Filtering Feature","0","1","Filter by Invalid Category","0"
"0","Login Functionality","0","User Login","1","1","Login with special characters in credentials","0"
"1","Web interface","0","product sorting features","0","0","Sort by Price with Empty Field","0"
"1","Web interface","0","Product Sorting Feature","0","0","Sort by Price with Empty Field","0"
"1","","0","Cart Feature","0","0","","0"
